EODHD Fundamentals Export
Ticker,ANZ
Exchange,AU
Source,eodhd
Generated,2026-06-15T23:57:52.513553+00:00

=== GENERAL ===
CIK,
LEI,JHE42UYNWWTJB8YTTU19
Code,ANZ
ISIN,AU000000ANZ3
Name,ANZ Group Holdings Ltd
Type,Common Stock
Phone,61 3 9273 5555
Sector,Financial Services
WebURL,https://www.anz.com.au
Address,"ANZ Centre, Melbourne, VIC, Australia, 3008"
IPODate,
LogoURL,/img/logos/AU/ANZ.png
Exchange,AU
GicGroup,Banks
Industry,Banks - Diversified
Listings,"{""0"": {""Code"": null, ""Name"": null, ""Exchange"": null}, ""1"": {""Code"": null, ""Name"": null, ""Exchange"": null}, ""2"": {""Code"": ""ANZPD"", ""Name"": ""Australia and New Zealand Banking Group Ltd Pref D"", ""Exchange"": ""AU""}}"
Officers,"{""0"": {""Name"": ""Mr. Nuno Goncalo de Macedo E Santana de Almeida Matos"", ""Title"": ""Group CEO & Director"", ""YearBorn"": ""1967""}, ""1"": {""Name"": ""Mr. Farhan  Faruqui"", ""Title"": ""Group Chief Financial Officer"", ""YearBorn"": ""1965""}, ""2"": {""Name"": ""Ms. Elisa  Clements"", ""Title"": ""Group Chief People Officer"", ""YearBorn"": ""NA""}, ""3"": {""Name"": ""Mr. Mark David Whelan"", ""Title"": ""Group Executive of Institutional"", ""YearBorn"": ""1960""}, ""4"": {""Name"": ""Mr. Kevin Paul Corbally"", ""Title"": ""Managing Director of Capital Management Institutional"", ""YearBorn"": ""1972""}, ""5"": {""Name"": ""Mr. Bruce  Rush"", ""Title"": ""Acting Group Executive Australia Retail"", ""YearBorn"": ""NA""}, ""6"": {""Name"": ""Ms. Antonia Margaret Watson B.Com."", ""Title"": ""Group Executive & CEO of New Zealand"", ""YearBorn"": ""1969""}, ""7"": {""Name"": ""Mr. Stephen Cameron White B.Com., BComm"", ""Title"": ""Group Chief Operations Officer"", ""YearBorn"": ""1971""}, ""8"": {""Name"": ""Ms. Christina  Tonkin"", ""Title"": ""Managing Director of Corporate Finance"", ""YearBorn"": ""NA""}, ""9"": {""Name"": ""Mr. Donald  Patra"", ""Title"": ""Group Chief Information Officer"", ""YearBorn"": ""NA""}}"
OpenFigi,BBG01B9NC3D0
GicSector,Financials
UpdatedAt,2026-06-15
CountryISO,AU
AddressData,"{""ZIP"": ""3008"", ""City"": ""Melbourne"", ""State"": ""VIC"", ""Street"": ""ANZ Centre"", ""Country"": ""Australia""}"
CountryName,Australia
Description,"ANZ Group Holdings Limited engages in the provision of banking and financial products and services to retail and business customers in Australia and internationally. The company operates through three segments: Personal, Business & Agri, and Institutional. It offers banking and wealth management services to consumer and private banking customers; banking services to small and medium enterprises, and the agricultural business. The company also provides loan products, loan syndication, specialized loan structuring and execution, project and export finance, debt structuring and acquisition finance, and finance solutions; working capital and liquidity solutions, including documentary trade, supply chain financing, commodity financing, as well as cash management solutions, deposits, payments, and clearing. In addition, it offers risk management services in foreign exchange, interest rates, credit, commodities, and debt capital markets. The company provides its services through internet and app-based digital solutions, a network of branches, mortgage specialists, private bankers, and contact centers. ANZ Group Holdings Limited was founded in 1835 and is based in Melbourne, Australia."
GicIndustry,Banks
CurrencyCode,AUD
CurrencyName,Australian Dollar
FiscalYearEnd,September
PrimaryTicker,ANZ.AU
CurrencySymbol,A$
GicSubIndustry,Diversified Banks
EmployerIdNumber,
FullTimeEmployees,40072
InternationalDomestic,International/Domestic

=== HIGHLIGHTS ===
EBITDA,
PERatio,17.5178
PEGRatio,2.1333
BookValue,23.598
RevenueTTM,21515999232
ProfitMargin,0.2742
DilutedEpsTTM,1.97
DividendShare,1.66
DividendYield,0.0486
EarningsShare,1.97
GrossProfitTTM,21515999232
MostRecentQuarter,2026-03-31
ReturnOnAssetsTTM,0.0045
ReturnOnEquityTTM,0.0824
OperatingMarginTTM,0.488
RevenuePerShareTTM,7.207
EPSEstimateNextYear,2.5484
MarketCapitalization,103910645760
WallStreetTargetPrice,35.6167
EPSEstimateCurrentYear,2.4788
EPSEstimateNextQuarter,0
MarketCapitalizationMln,103910.6458
EPSEstimateCurrentQuarter,0
QuarterlyRevenueGrowthYOY,-0.021
QuarterlyEarningsGrowthYOY,0.007

=== RATIOS ===
ratio,value,source
PE (Trailing),17.5178,Valuation
PE (Forward),12.7551,Valuation
PEG,2.1333,Highlights
Price / Sales (TTM),4.8295,Valuation
Price / Book (MRQ),1.448,Valuation
Enterprise Value,90998906880,Valuation
EV / Revenue,14.2209,Valuation
EV / EBITDA,0,Valuation
Profit Margin,0.2742,Highlights
Operating Margin (TTM),0.488,Highlights
Return on Assets (TTM),0.0045,Highlights
Return on Equity (TTM),0.0824,Highlights
Revenue (TTM),21515999232,Highlights
Revenue / Share (TTM),7.207,Highlights
Quarterly Rev Growth YoY,-0.021,Highlights
Gross Profit (TTM),21515999232,Highlights
Diluted EPS (TTM),1.97,Highlights
Quarterly EPS Growth YoY,0.007,Highlights
Book Value / Share,23.598,Highlights
Dividend / Share,1.66,Highlights
Dividend Yield,0.0486,Highlights
Beta,0.568,Technicals
52-Week High,40.075,Technicals
52-Week Low,26.6401,Technicals
50-Day MA,36.0204,Technicals
200-Day MA,36.1552,Technicals

=== VALUATION ===
ForwardPE,12.7551
TrailingPE,17.5178
PriceBookMRQ,1.448
PriceSalesTTM,4.8295
EnterpriseValue,90998906880
EnterpriseValueEbitda,0
EnterpriseValueRevenue,14.2209

=== SHARESSTATS ===
ShortRatio,
SharesFloat,3009795810
SharesShort,
PercentInsiders,0.013
SharesOutstanding,3011030332
ShortPercentFloat,
PercentInstitutions,42.35
SharesShortPriorMonth,
ShortPercentOutstanding,

=== TECHNICALS ===
Beta,0.568
50DayMA,36.0204
200DayMA,36.1552
52WeekLow,26.6401
52WeekHigh,40.075
ShortRatio,0
SharesShort,0
ShortPercent,
SharesShortPriorMonth,0

=== INCOME STATEMENT (annual) ===
metric,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30,2008-09-30,2007-09-30,2006-09-30,2005-09-30,2004-09-30,2003-09-30,2002-09-30,2001-09-30,2000-09-30,1999-09-30,1998-09-30,1997-09-30,1996-09-30,1995-09-30,1994-09-30,1993-09-30,1992-09-30,1991-09-30,1990-09-30,1989-09-30
costOfRevenue,46403000000.00,44570000000.00,33330000000.00,8735000000.00,5368000000.00,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,5974400000.00,0.00,1527500800.00,,,,,,,,,,,,,,,
currency_symbol,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD
date,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30,2008-09-30,2007-09-30,2006-09-30,2005-09-30,2004-09-30,2003-09-30,2002-09-30,2001-09-30,2000-09-30,1999-09-30,1998-09-30,1997-09-30,1996-09-30,1995-09-30,1994-09-30,1993-09-30,1992-09-30,1991-09-30,1990-09-30,1989-09-30
depreciationAndAmortization,1083000000.00,926000000.00,915000000.00,1008000000.00,1087000000.00,1391000000.00,871000000.00,1199000000.00,972000000.00,919000000.00,955000000.00,866000000.00,781000000.00,723000000.00,656000000.00,560000000.00,367000000.00,323000000.00,309000000.00,289000000.00,484000000.00,455000000.00,265000000.00,226000000.00,178000000.00,174000000.00,185000000.00,188000000.00,288000000.00,193000000.00,150000000.00,139000000.00,123400000.00,83700000.00,71500000.00,69600000.00,67800000.00
discontinuedOperations,,,,-19000000.00,-17000000.00,-98000000.00,-343000000.00,-695000000.00,62000000.00,62000000.00,62000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,
ebit,8722000000.00,9529000000.00,9854000000.00,9833000000.00,9546000000.00,56000000.00,8658000000.00,9712000000.00,8933000000.00,23579000000.00,26429000000.00,25983000000.00,24881000000.00,26416000000.00,12923000000.00,22336000000.00,20784000000.00,29268000000.00,13525000000.00,11939000000.00,9222000000.00,7813000000.00,9178000000.00,8203000000.00,9199000000.00,8873000000.00,7171000000.00,7628000064.00,4969000000.00,7574999936.00,6767000000.00,4904000000.00,4967900000.00,4908000000.00,8041600000.00,8120500000.00,6971200000.00
ebitda,9805000000.00,10455000000.00,10769000000.00,10841000000.00,10633000000.00,1447000000.00,9529000000.00,10911000000.00,9905000000.00,24498000000.00,27384000000.00,26849000000.00,25662000000.00,27139000000.00,13579000000.00,22896000000.00,21151000000.00,29591000000.00,13834000000.00,12228000000.00,9706000000.00,8268000000.00,9443000000.00,8429000000.00,9377000000.00,9047000000.00,7356000000.00,7816000064.00,5257000000.00,7767999936.00,6917000000.00,5043000000.00,5091300000.00,4991700000.00,8113100000.00,8190100000.00,7039000000.00
effectOfAccountingCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extraordinaryItems,,,0.00,-19000000.00,-17000000.00,-98000000.00,-343000000.00,-695000000.00,62000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filing_date,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30,2008-09-30,2007-09-30,2006-09-30,2005-09-30,2004-09-30,2003-09-30,2002-09-30,2001-09-30,2000-09-30,1999-09-30,1998-09-30,1997-09-30,1996-09-30,1995-09-30,1994-09-30,1993-09-30,1992-09-30,1991-09-30,1990-09-30,1989-09-30
grossProfit,22307000000.00,20355000000.00,20281000000.00,18942000000.00,17834000000.00,30018000000.00,18386000000.00,19137000000.00,20514000000.00,20413000000.00,20438000000.00,19173000000.00,17696000000.00,16761000000.00,16198000000.00,14912000000.00,12948000000.00,11613000000.00,10801000000.00,9846000000.00,8619000000.00,8121000000.00,7119000000.00,6891000000.00,6331000000.00,6384000000.00,-5029000000.00,-5952000000.00,-6017999872.00,-5968999936.00,5056000000.00,4768700000.00,4574600000.00,4546500000.00,4669400000.00,4240500000.00,3987800000.00
