EODHD Fundamentals Export
Ticker,CBA
Exchange,AU
Source,eodhd
Generated,2026-06-15T23:57:35.656548+00:00

=== GENERAL ===
CIK,
LEI,MSFSBD3QN1GSN7Q6C537
Code,CBA
ISIN,AU000000CBA7
Name,Commonwealth Bank of Australia
Type,Common Stock
Phone,61 2 9262 8200
Sector,Financial Services
WebURL,https://www.commbank.com.au
Address,"Commonwealth Bank Place South, Sydney, NSW, Australia, 2000"
IPODate,
LogoURL,/img/logos/AU/CBA.png
Exchange,AU
GicGroup,Banks
Industry,Banks - Diversified
Listings,"{""0"": {""Code"": ""CBAPG"", ""Name"": ""Commonwealth Bank of Australia Pref G"", ""Exchange"": ""AU""}, ""1"": {""Code"": ""CBAPH"", ""Name"": ""Commonwealth Bank of Australia Pref"", ""Exchange"": ""AU""}, ""2"": {""Code"": ""CBAPI"", ""Name"": ""Commonwealth Bank of Australia"", ""Exchange"": ""AU""}, ""3"": {""Code"": ""CBAPJ"", ""Name"": ""Commonwealth Bank of Australia"", ""Exchange"": ""AU""}, ""4"": {""Code"": ""CBAPK"", ""Name"": ""Commonwealth Bank of Australia"", ""Exchange"": ""AU""}, ""5"": {""Code"": ""CMWAY"", ""Name"": ""Commonwealth Bank of Australia PK"", ""Exchange"": ""US""}}"
Officers,"{""0"": {""Name"": ""Mr. Matthew  Comyn EMBA"", ""Title"": ""CEO, MD & Executive Director"", ""YearBorn"": ""1976""}, ""1"": {""Name"": ""Mr. Alan  Docherty"", ""Title"": ""Group Executive of Financial Services & Group CFO"", ""YearBorn"": ""NA""}, ""2"": {""Name"": ""Ms. Kiersten  Robinson"", ""Title"": ""Chief People Officer"", ""YearBorn"": ""1971""}, ""3"": {""Name"": ""Mr. Andrew  Hinchliff"", ""Title"": ""Group Chief Risk Officer"", ""YearBorn"": ""NA""}, ""4"": {""Name"": ""Ms. Vittoria Annabel June Shortt BMS, CA"", ""Title"": ""Chief Executive & MD of ASB Bank Ltd."", ""YearBorn"": ""NA""}, ""5"": {""Name"": ""Ms. Emma  Bunnell"", ""Title"": ""Chief Operations Officer"", ""YearBorn"": ""NA""}, ""6"": {""Name"": ""Mr. Rodrigo  Castillo"", ""Title"": ""CIO of Central Technology & CTO"", ""YearBorn"": ""NA""}, ""7"": {""Name"": ""Ms. Melanie  Kirk"", ""Title"": ""Head of Investor Relations"", ""YearBorn"": ""NA""}, ""8"": {""Name"": ""Ms. Karen  O'Flynn"", ""Title"": ""Group General Counsel, Company Secretary and Group Executive of Legal & Group Secretariat"", ""YearBorn"": ""NA""}, ""9"": {""Name"": ""Ms. Monique  Macleod"", ""Title"": ""Group Executive of Marketing & Corporate Affairs"", ""YearBorn"": ""NA""}}"
OpenFigi,BBG000BS8L64
GicSector,Financials
UpdatedAt,2026-06-15
CountryISO,AU
AddressData,"{""ZIP"": ""2000"", ""City"": ""Sydney"", ""State"": ""NSW"", ""Street"": ""Commonwealth Bank Place South"", ""Country"": ""Australia""}"
CountryName,Australia
Description,"Commonwealth Bank of Australia provides retail and commercial banking services in Australia, New Zealand, and internationally. It operates through Retail Banking Services, Business Banking, Institutional Banking and Markets, and New Zealand segments. The company offers savings and term deposit accounts, commonwealth direct investment accounts, and retail transaction accounts, as well as specialized accounts, such as statutory trust, society cheque, farm management, cash and treasury management, and business foreign currency deposit accounts. It also provides credit cards, personal and business loans, car and equipment finance, business overdrafts, margin lending, and international payment services; home loans; and buy-now-pay-later services. In addition, the company provides home and contents, car, health, life, income protection, pet, and travel insurance products. Further, it offers transaction banking, equity trading, and risk management products and services, as well as access to debt capital markets, capital raising, and investment and financial solutions. Commonwealth Bank of Australia was founded in 1911 and is based in Sydney, Australia."
GicIndustry,Banks
CurrencyCode,AUD
CurrencyName,Australian Dollar
FiscalYearEnd,June
PrimaryTicker,CBA.AU
CurrencySymbol,A$
GicSubIndustry,Diversified Banks
EmployerIdNumber,
FullTimeEmployees,51617
InternationalDomestic,International/Domestic

=== HIGHLIGHTS ===
EBITDA,
PERatio,26.0113
PEGRatio,3.4907
BookValue,46.188
RevenueTTM,28466999296
ProfitMargin,0.3635
DilutedEpsTTM,6.22
DividendShare,4.95
DividendYield,0.031
EarningsShare,6.22
GrossProfitTTM,28466999296
MostRecentQuarter,2025-12-31
ReturnOnAssetsTTM,0.0077
ReturnOnEquityTTM,0.1364
OperatingMarginTTM,0.5551
RevenuePerShareTTM,17.026
EPSEstimateNextYear,6.7493
MarketCapitalization,270532886528
WallStreetTargetPrice,122.7795
EPSEstimateCurrentYear,6.492
EPSEstimateNextQuarter,0
MarketCapitalizationMln,270532.8865
EPSEstimateCurrentQuarter,0
QuarterlyRevenueGrowthYOY,0.066
QuarterlyEarningsGrowthYOY,0.045

=== RATIOS ===
ratio,value,source
PE (Trailing),26.0113,Valuation
PE (Forward),22.6757,Valuation
PEG,3.4907,Highlights
Price / Sales (TTM),9.5034,Valuation
Price / Book (MRQ),3.4535,Valuation
Enterprise Value,489021440000,Valuation
EV / Revenue,16.083,Valuation
EV / EBITDA,0,Valuation
Profit Margin,0.3635,Highlights
Operating Margin (TTM),0.5551,Highlights
Return on Assets (TTM),0.0077,Highlights
Return on Equity (TTM),0.1364,Highlights
Revenue (TTM),28466999296,Highlights
Revenue / Share (TTM),17.026,Highlights
Quarterly Rev Growth YoY,0.066,Highlights
Gross Profit (TTM),28466999296,Highlights
Diluted EPS (TTM),6.22,Highlights
Quarterly EPS Growth YoY,0.045,Highlights
Book Value / Share,46.188,Highlights
Dividend / Share,4.95,Highlights
Dividend Yield,0.031,Highlights
Beta,0.802,Technicals
52-Week High,186.5857,Technicals
52-Week Low,145.0399,Technicals
50-Day MA,169.8804,Technicals
200-Day MA,165.7376,Technicals

=== VALUATION ===
ForwardPE,22.6757
TrailingPE,26.0113
PriceBookMRQ,3.4535
PriceSalesTTM,9.5034
EnterpriseValue,489021440000
EnterpriseValueEbitda,0
EnterpriseValueRevenue,16.083

=== SHARESSTATS ===
ShortRatio,
SharesFloat,1669398160
SharesShort,
PercentInsiders,0.253
SharesOutstanding,1672123722
ShortPercentFloat,
PercentInstitutions,36.477
SharesShortPriorMonth,
ShortPercentOutstanding,

=== TECHNICALS ===
Beta,0.802
50DayMA,169.8804
200DayMA,165.7376
52WeekLow,145.0399
52WeekHigh,186.5857
ShortRatio,0
SharesShort,0
ShortPercent,
SharesShortPriorMonth,0

=== INCOME STATEMENT (annual) ===
metric,2025-06-30,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30,2008-06-30,2007-06-30,2006-06-30,2005-06-30,2004-06-30,2003-06-30,2002-06-30,2001-06-30,2000-06-30,1999-06-30,1998-06-30,1997-06-30,1996-06-30,1995-06-30,1994-06-30,1993-06-30,1992-06-30,1991-06-30
costOfRevenue,41087000000.00,38220000000.00,21419000000.00,4820000000.00,5819000000.00,14070000000.00,17686000000.00,16886000000.00,16744000000.00,18217000000.00,19310000000.00,19468000000.00,21951000000.00,,,,,,,5393978800.00,0.00,,,,,,,,,,,,,,
currency_symbol,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD
date,2025-06-30,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30,2008-06-30,2007-06-30,2006-06-30,2005-06-30,2004-06-30,2003-06-30,2002-06-30,2001-06-30,2000-06-30,1999-06-30,1998-06-30,1997-06-30,1996-06-30,1995-06-30,1994-06-30,1993-06-30,1992-06-30,1991-06-30
depreciationAndAmortization,1398000000.00,1502000000.00,1176000000.00,1579000000.00,1384000000.00,1695000000.00,1030000000.00,988000000.00,1322000000.00,796000000.00,717000000.00,730000000.00,641000000.00,553000000.00,538000000.00,543000000.00,441000000.00,328000000.00,270000000.00,213000000.00,325000000.00,450000000.00,528000000.00,451000000.00,488000000.00,117000000.00,145000000.00,187000000.00,237000000.00,272000000.00,340000000.00,286200000.00,294400000.00,296000000.00,260800000.00
discontinuedOperations,,,-98000000.00,1098000000.00,1338000000.00,2175000000.00,482000000.00,600000000.00,470000000.00,278000000.00,278000000.00,,,,,,,,,,,,,,,,,,,,,,,,
ebit,14549000000.00,13782000000.00,14241000000.00,13594000000.00,12375000000.00,10378000000.00,11309000000.00,12553000000.00,13255000000.00,12365000000.00,12602000000.00,11997000000.00,10645000000.00,35084000000.00,34236000000.00,28729000000.00,27912000000.00,27816000000.00,23337000000.00,19072000000.00,15856000000.00,11711000000.00,9472000000.00,9316000000.00,10817000000.00,8583000000.00,6354000000.00,6348000000.00,6335000192.00,5924000000.00,4910000000.00,4143200000.00,4430300000.00,5430000000.00,6655500000.00
ebitda,15947000000.00,15284000000.00,15417000000.00,15173000000.00,13759000000.00,12073000000.00,12339000000.00,13541000000.00,14577000000.00,13161000000.00,13319000000.00,12727000000.00,11286000000.00,35637000000.00,34774000000.00,29272000000.00,28353000000.00,28144000000.00,23607000000.00,19285000000.00,16181000000.00,12161000000.00,10000000000.00,9767000000.00,11305000000.00,8700000000.00,6499000000.00,6535000000.00,6572000192.00,6196000000.00,5250000000.00,4429400000.00,4724700000.00,5726000000.00,6916300000.00
effectOfAccountingCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extraordinaryItems,-17000000.00,-87000000.00,-98000000.00,1098000000.00,1338000000.00,2175000000.00,211000000.00,272000000.00,470000000.00,278000000.00,,,,,,,,,,,,,,,,,,,,,,,,,
filing_date,2025-06-30,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30,2008-06-30,2007-06-30,2006-06-30,2005-06-30,2004-06-30,2003-06-30,2002-06-30,2001-06-30,2000-06-30,1999-06-30,1998-06-30,1997-06-30,1996-06-30,1995-06-30,1994-06-30,1993-06-30,1992-06-30,1991-06-30
grossProfit,28657000000.00,27309000000.00,27139000000.00,23290000000.00,23552000000.00,21119000000.00,21857000000.00,22885000000.00,23127000000.00,22198000000.00,22386000000.00,21410000000.00,19524000000.00,,,,,,,15460597600.00,16445484000.00,,,,,,,,,,,,,,
incomeBeforeTax,14549000000.00,13782000000.00,14241000000.00,13594000000.00,12375000000.00,10378000000.00,11309000000.00,12553000000.00,13255000000.00,12365000000.00,12602000000.00,11997000000.00,10645000000.00,9964000000.00,9057000000.00,8193000000.00,6449000000.00,6255000000.00,6538000000.00,5859000000.00,5638000000.00,3843000000.00,2976000000.00,3572000000.00,3405000000.00,3538000000.00,2160000000.00,1342000000.00,1616000000.00,1776000000.00,1523000000.00,1053700000.00,773700000.00,660900000.00,1487200000.00
incomeTaxExpense,4416000000.00,4301000000.00,4145000000.00,4002000000.00,3532000000.00,2990000000.00,3255000000.00,3811000000.00,3784000000.00,3400000000.00,3528000000.00,3347000000.00,3011000000.00,2858000000.00,2647000000.00,2513000000.00,1696000000.00,1433000000.00,2041000000.00,1900000000.00,1637000000.00,1262000000.00,958000000.00,916000000.00,993000000.00,760000000.00,714000000.00,1050000000.00,660000000.00,635000000.00,521000000.00,357700000.00,454500000.00,245000000.00,-104500000.00
interestExpense,41087000000.00,38220000000.00,21419000000.00,4820000000.00,5819000000.00,11552000000.00,16485000000.00,15807000000.00,15649000000.00,16961000000.00,18322000000.00,18550000000.00,20805000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
interestIncome,65110000000.00,61044000000.00,44475000000.00,24293000000.00,24658000000.00,30162000000.00,34588000000.00,34543000000.00,33293000000.00,33817000000.00,,,,,,,,,,,,,,,,,,,,,,,,,
minorityInterest,,,0.00,0.00,5000000.00,5000000.00,55000000.00,554000000.00,546000000.00,550000000.00,562000000.00,19000000.00,16000000.00,16000000.00,16000000.00,16000000.00,30000000.00,31000000.00,27000000.00,31000000.00,10000000.00,9000000.00,6000000.00,1000000.00,14000000.00,38000000.00,,,,,,,,,
netIncome,10116000000.00,9394000000.00,9998000000.00,10690000000.00,10181000000.00,9592000000.00,8566000000.00,9329000000.00,9928000000.00,9223000000.00,9053000000.00,8631000000.00,7618000000.00,7090000000.00,6394000000.00,5664000000.00,4723000000.00,4791000000.00,4470000000.00,3928000000.00,3991000000.00,2572000000.00,2012000000.00,2655000000.00,2398000000.00,2700000000.00,1422000000.00,1090000000.00,1078000000.00,1119000000.00,983000000.00,682100000.00,443100000.00,408800000.00,883300000.00
netIncomeApplicableToCommonShares,10116000000.00,9394000000.00,10090000000.00,10771000000.00,10181000000.00,9634000000.00,8571000000.00,9329000000.00,9928000000.00,9173000000.00,9001000000.00,8586000000.00,7637000000.00,7048000000.00,6352000000.00,5664000000.00,4666000000.00,4743000000.00,4415000000.00,3928000000.00,3860000000.00,2472000000.00,1972000000.00,2621000000.00,2389000000.00,2700000000.00,,,,,,,,,
netIncomeFromContinuingOps,10133000000.00,9481000000.00,10188000000.00,9673000000.00,8843000000.00,7459000000.00,8372000000.00,9394000000.00,9952000000.00,9247000000.00,9074000000.00,8650000000.00,,,,,,,,1730337000.00,2715768000.00,,,,,,,,,,,,,,
netInterestIncome,24023000000.00,22824000000.00,23056000000.00,19473000000.00,18839000000.00,18610000000.00,18120000000.00,18342000000.00,17546000000.00,16858000000.00,,,,,,,,,,,,,,,,,,,,,,,,,
nonOperatingIncomeNetOther,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonRecurring,,,,,,,,,,,,,,,,,,,,,-167640000.00,,,,,,,,,,,,,,
operatingIncome,14549000000.00,13782000000.00,14241000000.00,13594000000.00,12375000000.00,10378000000.00,11309000000.00,12553000000.00,13255000000.00,12365000000.00,12602000000.00,11997000000.00,10645000000.00,9964000000.00,9057000000.00,8193000000.00,6449000000.00,6255000000.00,6538000000.00,5859000000.00,5638000000.00,3843000000.00,4548000000.00,3572000000.00,3405000000.00,3624000000.00,,,1616000000.00,1776000000.00,1523000000.00,1053700000.00,773700000.00,660900000.00,1487200000.00
otherItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherOperatingExpenses,55195000000.00,51747000000.00,34317000000.00,14516000000.00,16996000000.00,24811000000.00,28234000000.00,27218000000.00,26616000000.00,28050000000.00,29094000000.00,28881000000.00,30830000000.00,,,,,,,272327300.00,48768000.00,,,,,,,,,,,,,,
preferredStockAndOtherAdjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reconciledDepreciation,1398000000.00,1502000000.00,1173000000.00,1190000000.00,1420000000.00,1872000000.00,972000000.00,871000000.00,1131000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,
researchDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sellingAndMarketingExpenses,313000000.00,297000000.00,262000000.00,227000000.00,237000000.00,424000000.00,443000000.00,478000000.00,462000000.00,479000000.00,522000000.00,477000000.00,463000000.00,459000000.00,457000000.00,398000000.00,475000000.00,348000000.00,326000000.00,307000000.00,288000000.00,,276000000.00,256000000.00,535000000.00,,,,,,,,,,
sellingGeneralAdministrative,439000000.00,410000000.00,403000000.00,495000000.00,531000000.00,404000000.00,492000000.00,679000000.00,379000000.00,234000000.00,390000000.00,257000000.00,230000000.00,197000000.00,196000000.00,212000000.00,221000000.00,217000000.00,8000000.00,216000000.00,220000000.00,2756000000.00,3011000000.00,2714000000.00,2689000000.00,,,,,,,,,,
taxProvision,4416000000.00,4301000000.00,4155000000.00,4011000000.00,3532000000.00,3020000000.00,3391000000.00,3952000000.00,3784000000.00,3400000000.00,,,,,,,,,,,,,,,,,,,,,,,,,
totalOperatingExpenses,14108000000.00,13527000000.00,12898000000.00,9696000000.00,11177000000.00,10741000000.00,10548000000.00,10332000000.00,9872000000.00,9833000000.00,9784000000.00,9413000000.00,8879000000.00,9992000000.00,10157000000.00,9941000000.00,7606000000.00,6809000000.00,8648000000.00,8406000000.00,4152000000.00,3321000000.00,3945000000.00,3477000000.00,3302000000.00,117000000.00,145000000.00,187000000.00,237000000.00,272000000.00,,,295692000.00,297690000.00,1004800000.00
totalOtherIncomeExpenseNet,145000000.00,95000000.00,19000000.00,-1012000000.00,-139000000.00,-16000000.00,-1030000000.00,-122000000.00,-924000000.00,-418000000.00,-410000000.00,-491000000.00,-340000000.00,,,,,,,,435102000.00,,,,,,,,,,,,,,
totalRevenue,69744000000.00,65529000000.00,48558000000.00,28110000000.00,29371000000.00,35189000000.00,39543000000.00,39771000000.00,39871000000.00,40415000000.00,41696000000.00,40878000000.00,41475000000.00,21145000000.00,20679000000.00,20662000000.00,16323000000.00,14386000000.00,15675000000.00,14535000000.00,14444000000.00,10491000000.00,8848000000.00,8459000000.00,8289000000.00,6139000000.00,5524000000.00,5282000000.00,4915999808.00,4898000000.00,4648000000.00,4258900000.00,4367000000.00,4653500000.00,4115900000.00

=== INCOME STATEMENT (quarterly) ===
