EODHD Fundamentals Export
Ticker,MQG
Exchange,AU
Source,eodhd
Generated,2026-06-15T23:58:55.872766+00:00

=== GENERAL ===
CIK,
LEI,ACMHD8HWFMFUIQQ8Y590
Code,MQG
ISIN,AU000000MQG1
Name,Macquarie Group Ltd
Type,Common Stock
Phone,61 2 8232 3333
Sector,Financial Services
WebURL,https://www.macquarie.com
Address,"1 Elizabeth Street, Sydney, NSW, Australia, 2000"
IPODate,
LogoURL,/img/logos/AU/MQG.png
Exchange,AU
GicGroup,Financial Services
Industry,Capital Markets
Listings,"{""0"": {""Code"": ""MQG"", ""Name"": ""MEDUSA MINING"", ""Exchange"": ""F""}, ""1"": {""Code"": ""MQG"", ""Name"": ""MEDUSA MINING"", ""Exchange"": ""MU""}}"
Officers,"{""0"": {""Name"": ""Ms. Shemara R. Wikramanayake B.Com., BCom (UNSW), L.L.B."", ""Title"": ""CEO, MD & Executive Voting Director"", ""YearBorn"": ""1961""}, ""1"": {""Name"": ""Ms. Nicole G. Sorbara"", ""Title"": ""Global COO & Head of Corporate Operations Group"", ""YearBorn"": ""NA""}, ""2"": {""Name"": ""Ms. G. N. Bruce"", ""Title"": ""Head of Legal & Governance Group and Group General Counsel"", ""YearBorn"": ""NA""}, ""3"": {""Name"": ""Mr. Gregory Colin Ward B.Ec., F Fin, FCA, M.Ec."", ""Title"": ""Head of Banking & Financial Services Group and Deputy MD"", ""YearBorn"": ""1968""}, ""4"": {""Name"": ""Mr. Michael John Silverton"", ""Title"": ""Global Head of Macquarie Capital"", ""YearBorn"": ""NA""}, ""5"": {""Name"": ""Mr. Simon Lawrence Wright"", ""Title"": ""Global Head of CGM's Financial Markets Division & Head of Commodities and Global Markets"", ""YearBorn"": ""NA""}, ""6"": {""Name"": ""Mr. Benjamin Ian Way"", ""Title"": ""Head of Macquarie Asset Management"", ""YearBorn"": ""NA""}, ""7"": {""Name"": ""Mr. Andrew F. Cassidy"", ""Title"": ""Chief Risk Officer & Head of Risk Management Group"", ""YearBorn"": ""NA""}, ""8"": {""Name"": ""Mr. Stuart D. Green AMCT, B.A., BA (Hons), CA, F.C.A., M.B.A."", ""Title"": ""MD & CEO of Macquarie Bank"", ""YearBorn"": ""1965""}, ""9"": {""Name"": ""Mr. Pui-Cheun  Kwok"", ""Title"": ""Chief Financial Officer"", ""YearBorn"": ""NA""}}"
OpenFigi,BBG000GYHHY4
GicSector,Financials
UpdatedAt,2026-06-15
CountryISO,AU
AddressData,"{""ZIP"": ""2000"", ""City"": ""Sydney"", ""State"": ""NSW"", ""Street"": ""1 Elizabeth Street"", ""Country"": ""Australia""}"
CountryName,Australia
Description,"Macquarie Group Limited provides diversified financial services in Australia, New Zealand the Americas, Europe, the Middle East, Africa, and Asia. It operates through four segments: Macquarie Asset Management (MAM); Banking and Financial Services (BFS); Commodities and Global Markets (CGM); and Macquarie Capital. The MAM segment provides investment solutions to clients across various capabilities, including real assets, real estate, credit, equities and multi-asset and secondaries. The BFS segment offers personal banking products comprising home loans, car loans, transaction and savings accounts, and credit cards; wealth management products, such as wrap platform and cash management, financial advisory, and private banking services, as well as investment and superannuation products. It also provides deposit, lending, and payment solutions and services to business clients. The CGM segment provides capital and financing, risk management, and physical execution and logistics solutions across power, gas, emissions, agriculture, oil, and resources sectors; market access to corporate and institutional clients; and specialist finance and asset management solutions. The Macquarie Capital segment offers advisory and capital raising services. This segment is also involved in specialist investing across private credit, private equity, real estate, growth equity, venture capital, and infrastructure and energy projects and companies; and brokerage business, including equity research, sales, execution capabilities, and corporate access. Macquarie Group Limited was founded in 1969 and is headquartered in Sydney, Australia."
GicIndustry,Capital Markets
CurrencyCode,AUD
CurrencyName,Australian Dollar
FiscalYearEnd,March
PrimaryTicker,MQG.AU
CurrencySymbol,A$
GicSubIndustry,Diversified Capital Markets
EmployerIdNumber,
FullTimeEmployees,19735
InternationalDomestic,International/Domestic

=== HIGHLIGHTS ===
EBITDA,
PERatio,25.4634
PEGRatio,0.8046
BookValue,94.509
RevenueTTM,17791000576
ProfitMargin,0.2112
DilutedEpsTTM,9.71
DividendShare,6.7
DividendYield,0.0276
EarningsShare,9.71
GrossProfitTTM,17791000576
MostRecentQuarter,2026-03-31
ReturnOnAssetsTTM,0.0085
ReturnOnEquityTTM,0.1121
OperatingMarginTTM,0.2836
RevenuePerShareTTM,48.6
EPSEstimateNextYear,12.2798
MarketCapitalization,94236467200
WallStreetTargetPrice,240.0323
EPSEstimateCurrentYear,11.0015
EPSEstimateNextQuarter,0
MarketCapitalizationMln,94236.4672
EPSEstimateCurrentQuarter,0
QuarterlyRevenueGrowthYOY,0.058
QuarterlyEarningsGrowthYOY,0.061

=== RATIOS ===
ratio,value,source
PE (Trailing),25.4634,Valuation
