EODHD Fundamentals Export
Ticker,NAB
Exchange,AU
Source,eodhd
Generated,2026-06-15T23:58:24.890996+00:00

=== GENERAL ===
CIK,
LEI,F8SB4JFBSYQFRQEH3Z21
Code,NAB
ISIN,AU000000NAB4
Name,National Australia Bank Ltd
Type,Common Stock
Phone,61 3 8615 3064
Sector,Financial Services
WebURL,https://www.nab.com.au
Address,"395 Bourke Street, Melbourne, VIC, Australia, 3000"
IPODate,
LogoURL,/img/logos/AU/NAB.png
Exchange,AU
GicGroup,Banks
Industry,Banks - Diversified
Listings,"{""0"": {""Code"": null, ""Name"": null, ""Exchange"": null}, ""1"": {""Code"": ""NABPB"", ""Name"": ""NAT. BANK CPS II"", ""Exchange"": ""AU""}}"
Officers,"{""0"": {""Name"": ""Mr. Andrew Francis Irvine B.Sc., M.B.A."", ""Title"": ""MD, Group CEO & Director"", ""YearBorn"": ""NA""}, ""1"": {""Name"": ""Mr. Lesile D. Matheson B.Com."", ""Title"": ""Group Chief Operating Officer"", ""YearBorn"": ""1960""}, ""2"": {""Name"": ""Mr. Patrick F. Wright B.B.A."", ""Title"": ""Group Executive of Technology & Enterprise Operations"", ""YearBorn"": ""1967""}, ""3"": {""Name"": ""Ms. Sarah  White"", ""Title"": ""Group Executive of People & Culture"", ""YearBorn"": ""NA""}, ""4"": {""Name"": ""Mr. Shaun  Dooley BEC, M.S."", ""Title"": ""Group Chief Risk Officer"", ""YearBorn"": ""NA""}, ""5"": {""Name"": ""Mr. Daniel James Huggins B.Com., M.B.A."", ""Title"": ""MD & CEO of Bank of New Zealand"", ""YearBorn"": ""NA""}, ""6"": {""Name"": ""Ms. Rachel  Slade"", ""Title"": ""Group Executive of Personal Banking"", ""YearBorn"": ""NA""}, ""7"": {""Name"": ""Ms. Ana  Marinkovic B.A., M.B.A."", ""Title"": ""Group Executive, Personal Banking"", ""YearBorn"": ""NA""}, ""8"": {""Name"": ""Mr. Andrew Brent Auerbach B.A."", ""Title"": ""Group Executive of Business & Private Banking"", ""YearBorn"": ""NA""}, ""9"": {""Name"": ""Mr. Inder  Singh B.Com."", ""Title"": ""Group CFO & Group Executive, Strategy"", ""YearBorn"": ""NA""}}"
OpenFigi,BBG000CZQSS8
GicSector,Financials
UpdatedAt,2026-06-15
CountryISO,AU
AddressData,"{""ZIP"": ""3000"", ""City"": ""Melbourne"", ""State"": ""VIC"", ""Street"": ""395 Bourke Street"", ""Country"": ""Australia""}"
CountryName,Australia
Description,"National Australia Bank Limited provides financial services to individuals and businesses in Australia, New Zealand, Europe, Asia, the United States, and internationally. The company operates through Business and Private Banking; Personal Banking; Corporate and Institutional Banking; New Zealand Banking; and Corporate Functions and Other segments. It accepts transaction accounts, savings accounts, debit cards, and term deposits; and specialized accounts, such as foreign currency, business interest, cash maximiser, farm management, community free saver, statutory trust, and project bank accounts, as well as farm management deposits. In addition, the company provides home loans, personal loans, and business loans; vehicle and equipment finance; and trade and invoice finance, as well as business overdrafts and bank guarantees. Further, it offers insurance products consisting of home and content, landlord, travel, car, caravan and trailer, life, and business insurance products; and self-managed super funds, cash management, and financial advice services. Additionally, the company provides investment products; credit, debit, and business cards; payments and merchant services; online and internet banking services; small business services; international and foreign exchange solutions; and industry-specific banking services. The company was founded in 1834 and is based in Melbourne, Australia."
GicIndustry,Banks
CurrencyCode,AUD
CurrencyName,Australian Dollar
FiscalYearEnd,September
PrimaryTicker,NAB.AU
CurrencySymbol,A$
GicSubIndustry,Diversified Banks
EmployerIdNumber,
FullTimeEmployees,42471
InternationalDomestic,International/Domestic

=== HIGHLIGHTS ===
EBITDA,
PERatio,18.73
PEGRatio,2.3429
BookValue,19.783
RevenueTTM,20569999360
ProfitMargin,0.2967
DilutedEpsTTM,2
DividendShare,1.7
DividendYield,0.0466
EarningsShare,2
GrossProfitTTM,20569999360
MostRecentQuarter,2026-03-31
ReturnOnAssetsTTM,0.0055
ReturnOnEquityTTM,0.0991
OperatingMarginTTM,0.5247
RevenuePerShareTTM,6.73
EPSEstimateNextYear,2.475
MarketCapitalization,114677604352
WallStreetTargetPrice,37.7807
EPSEstimateCurrentYear,2.1555
EPSEstimateNextQuarter,0
MarketCapitalizationMln,114677.6044
EPSEstimateCurrentQuarter,0
QuarterlyRevenueGrowthYOY,0.087
QuarterlyEarningsGrowthYOY,0.199

=== RATIOS ===
ratio,value,source
PE (Trailing),18.73,Valuation
PE (Forward),13.947,Valuation
PEG,2.3429,Highlights
Price / Sales (TTM),5.575,Valuation
Price / Book (MRQ),1.8451,Valuation
Enterprise Value,217732726784,Valuation
EV / Revenue,15.076,Valuation
EV / EBITDA,0,Valuation
Profit Margin,0.2967,Highlights
Operating Margin (TTM),0.5247,Highlights
Return on Assets (TTM),0.0055,Highlights
Return on Equity (TTM),0.0991,Highlights
Revenue (TTM),20569999360,Highlights
Revenue / Share (TTM),6.73,Highlights
Quarterly Rev Growth YoY,0.087,Highlights
Gross Profit (TTM),20569999360,Highlights
Diluted EPS (TTM),2,Highlights
Quarterly EPS Growth YoY,0.199,Highlights
Book Value / Share,19.783,Highlights
Dividend / Share,1.7,Highlights
Dividend Yield,0.0466,Highlights
Beta,0.719,Technicals
52-Week High,48.4,Technicals
52-Week Low,35.4165,Technicals
50-Day MA,39.2906,Technicals
200-Day MA,42.4187,Technicals

=== VALUATION ===
ForwardPE,13.947
TrailingPE,18.73
PriceBookMRQ,1.8451
PriceSalesTTM,5.575
EnterpriseValue,217732726784
EnterpriseValueEbitda,0
EnterpriseValueRevenue,15.076

=== SHARESSTATS ===
ShortRatio,
SharesFloat,3060447213
SharesShort,
PercentInsiders,0.026
SharesOutstanding,3061335000
ShortPercentFloat,
PercentInstitutions,44.909
SharesShortPriorMonth,
ShortPercentOutstanding,

=== TECHNICALS ===
Beta,0.719
