EODHD Fundamentals Export
Ticker,WBC
Exchange,AU
Source,eodhd
Generated,2026-06-15T23:44:35.350780+00:00

=== GENERAL ===
CIK,
LEI,EN5TNI6CI43VEPAMHL14
Code,WBC
ISIN,AU000000WBC1
Name,Westpac Banking Corporation
Type,Common Stock
Phone,61 2 9155 7713
Sector,Financial Services
WebURL,https://www.westpac.com.au
Address,"Westpac Place, Sydney, NSW, Australia, 2000"
IPODate,
LogoURL,/img/logos/AU/WBC.png
Exchange,AU
GicGroup,Banks
Industry,Banks - Diversified
Listings,"{""0"": {""Code"": null, ""Name"": null, ""Exchange"": null}, ""1"": {""Code"": ""WBC"", ""Name"": ""Westpac Banking Corporation"", ""Exchange"": ""F""}, ""2"": {""Code"": ""WBK"", ""Name"": ""Westpac Banking Corporation"", ""Exchange"": ""US""}}"
Officers,"{""0"": {""Name"": ""Mr. Anthony James Miller B.A., L.L.B."", ""Title"": ""Group CEO & MD"", ""YearBorn"": ""1970""}, ""1"": {""Name"": ""Mr. Scott  Collary B.A."", ""Title"": ""Group Chief Information Officer"", ""YearBorn"": ""1965""}, ""2"": {""Name"": ""Ms. Kate  Dee B.A."", ""Title"": ""Chief People Officer"", ""YearBorn"": ""1978""}, ""3"": {""Name"": ""Ms. Carolyn  McCann B.A."", ""Title"": ""Chief Executive of Consumer"", ""YearBorn"": ""1972""}, ""4"": {""Name"": ""Mr. Ryan Armand Zanin C.F.A."", ""Title"": ""Chief Risk Officer"", ""YearBorn"": ""1963""}, ""5"": {""Name"": ""Mr. Peter  Herbert"", ""Title"": ""Chief Unite & Customer Operations Officer"", ""YearBorn"": ""1983""}, ""6"": {""Name"": ""Ms. Carolyn  Hoy B.A., L.L.B."", ""Title"": ""Acting Group Executive of Customer & Corporate Services"", ""YearBorn"": ""1976""}, ""7"": {""Name"": ""Mr. Paul  Fowler B.Com., L.L.B."", ""Title"": ""Chief Executive of Business & Wealth"", ""YearBorn"": ""1979""}, ""8"": {""Name"": ""Ms. Catherine Anne McGrath B.Com., L.L.B."", ""Title"": ""Chief Executive Officer of Westpac New Zealand Limited"", ""YearBorn"": ""1971""}, ""9"": {""Name"": ""Ms. Nell C. Hutton B.Com."", ""Title"": ""Chief Executive of Westpac Institutional Bank"", ""YearBorn"": ""1976""}}"
OpenFigi,BBG000D0JD23
GicSector,Financials
UpdatedAt,2026-06-15
CountryISO,AU
AddressData,"{""ZIP"": ""2000"", ""City"": ""Sydney"", ""State"": ""NSW"", ""Street"": ""Westpac Place"", ""Country"": ""Australia""}"
CountryName,Australia
Description,"Westpac Banking Corporation provides banking and other financial services in Australia, New Zealand, the Pacific Islands, Asia, the Americas, and Europe. It operates through the Consumer, Business & Wealth, Institutional, and New Zealand segments. The company offers bank accounts, home and personal loans, credit cards, international and travel banking services, insurance, superannuation, investments, share trading, margin lending, private banking, and online banking services; savings and transactions accounts, loans and finance, payment solutions, insurance for businesses, foreign exchange and international money transfer, commercial business and industry banking; bank guarantee, business digital wallet, business setup, and business term deposits; and corporate online banking, transaction banking, corporate and structured finance, and trade and supply chain finance services. It serves individuals and consumers; small to medium businesses and commercial and agribusiness customers; high-net-worth individuals; and corporate and institutional and government customers. The company was formerly known as Bank of New South Wales and changed its name to Westpac Banking Corporation in October 1982. Westpac Banking Corporation was founded in 1817 and is headquartered in Sydney, Australia."
GicIndustry,Banks
CurrencyCode,AUD
CurrencyName,Australian Dollar
FiscalYearEnd,September
PrimaryTicker,WBC.AU
CurrencySymbol,A$
GicSubIndustry,Diversified Banks
EmployerIdNumber,
FullTimeEmployees,33305
InternationalDomestic,International/Domestic

=== HIGHLIGHTS ===
EBITDA,
PERatio,17.399
PEGRatio,1.2511
BookValue,21.31
RevenueTTM,22267000832
ProfitMargin,0.315
DilutedEpsTTM,2.03
DividendShare,1.54
DividendYield,0.044
EarningsShare,2.03
GrossProfitTTM,22267000832
MostRecentQuarter,2026-03-31
ReturnOnAssetsTTM,0.0062
ReturnOnEquityTTM,0.098
OperatingMarginTTM,0.5043
RevenuePerShareTTM,6.519
EPSEstimateNextYear,2.1782
MarketCapitalization,120614526976
WallStreetTargetPrice,33.4476
EPSEstimateCurrentYear,2.0626
EPSEstimateNextQuarter,0
MarketCapitalizationMln,120614.527
EPSEstimateCurrentQuarter,0
QuarterlyRevenueGrowthYOY,0.015
QuarterlyEarningsGrowthYOY,0.054

=== RATIOS ===
ratio,value,source
PE (Trailing),17.399,Valuation
PE (Forward),15.625,Valuation
PEG,1.2511,Highlights
Price / Sales (TTM),5.4167,Valuation
Price / Book (MRQ),1.6891,Valuation
Enterprise Value,245192753152,Valuation
EV / Revenue,15.0855,Valuation
EV / EBITDA,0,Valuation
Profit Margin,0.315,Highlights
Operating Margin (TTM),0.5043,Highlights
Return on Assets (TTM),0.0062,Highlights
Return on Equity (TTM),0.098,Highlights
Revenue (TTM),22267000832,Highlights
Revenue / Share (TTM),6.519,Highlights
Quarterly Rev Growth YoY,0.015,Highlights
Gross Profit (TTM),22267000832,Highlights
Diluted EPS (TTM),2.03,Highlights
Quarterly EPS Growth YoY,0.054,Highlights
Book Value / Share,21.31,Highlights
Dividend / Share,1.54,Highlights
Dividend Yield,0.044,Highlights
Beta,0.73,Technicals
52-Week High,42.4721,Technicals
52-Week Low,31.1384,Technicals
50-Day MA,37.8002,Technicals
200-Day MA,38.8877,Technicals

=== VALUATION ===
ForwardPE,15.625
TrailingPE,17.399
PriceBookMRQ,1.6891
PriceSalesTTM,5.4167
EnterpriseValue,245192753152
EnterpriseValueEbitda,0
EnterpriseValueRevenue,15.0855

=== SHARESSTATS ===
ShortRatio,
SharesFloat,3411492440
SharesShort,
PercentInsiders,0.094
SharesOutstanding,3414907347
ShortPercentFloat,
PercentInstitutions,39.756
SharesShortPriorMonth,
ShortPercentOutstanding,

=== TECHNICALS ===
Beta,0.73
50DayMA,37.8002
200DayMA,38.8877
52WeekLow,31.1384
52WeekHigh,42.4721
ShortRatio,0
SharesShort,0
ShortPercent,
SharesShortPriorMonth,0

=== INCOME STATEMENT (annual) ===
metric,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30,2008-09-30,2007-09-30,2006-09-30,2005-09-30,2004-09-30,2003-09-30,2002-09-30,2001-09-30,2000-09-30,1999-09-30,1998-09-30,1997-09-30,1996-09-30,1995-09-30,1994-09-30,1993-09-30,1992-09-30,1991-09-30,1990-09-30,1989-09-30,1988-09-30
costOfRevenue,36086000000.00,36130000000.00,26082000000.00,6423000000.00,4853000000.00,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
currency_symbol,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD
date,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30,2008-09-30,2007-09-30,2006-09-30,2005-09-30,2004-09-30,2003-09-30,2002-09-30,2001-09-30,2000-09-30,1999-09-30,1998-09-30,1997-09-30,1996-09-30,1995-09-30,1994-09-30,1993-09-30,1992-09-30,1991-09-30,1990-09-30,1989-09-30,1988-09-30
depreciationAndAmortization,541000000.00,1522000000.00,1237000000.00,1581000000.00,1998000000.00,1784000000.00,1054000000.00,1142000000.00,1269000000.00,1222000000.00,-12762000000.00,-11517000000.00,-10427000000.00,850000000.00,721000000.00,720000000.00,610000000.00,328000000.00,311000000.00,280000000.00,450455040.00,427404190.00,413235790.00,373883370.00,393509600.00,270768120.00,237105596.00,244218872.00,217858638.00,5276939262.00,,164165940.00,177347520.00,189053604.00,,192196238.00,,
discontinuedOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebit,10044000000.00,10107000000.00,10310000000.00,8476000000.00,-3054000000.00,-2473000000.00,9797000000.00,11743000000.00,11498000000.00,10600000000.00,25844000000.00,23277000000.00,21103000000.00,8814000000.00,34548000000.00,30281000000.00,24825000000.00,27005000000.00,20843000000.00,16942000000.00,13928647680.00,11671844970.00,8592657370.00,7737359790.00,8789057200.00,9119543960.00,7007566228.00,7235089568.00,6975334760.00,1560093458.00,,3837159284.00,4312656096.00,3687243408.00,,10947551037.00,,
ebitda,10585000000.00,11629000000.00,11547000000.00,10057000000.00,-1056000000.00,-689000000.00,10851000000.00,12885000000.00,12767000000.00,11822000000.00,13082000000.00,11760000000.00,10676000000.00,9664000000.00,35269000000.00,31001000000.00,25435000000.00,27333000000.00,21154000000.00,17222000000.00,14379102720.00,12099249160.00,9005893160.00,8111243160.00,9182566800.00,9390312080.00,7244671824.00,7479308440.00,7193193398.00,6837032720.00,5574052344.00,4001325224.00,4490003616.00,3876297012.00,8139811988.00,11139747275.00,789579763.00,725052627.00
effectOfAccountingCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extraordinaryItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filing_date,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30,2008-09-30,2007-09-30,2006-09-30,2005-09-30,2004-09-30,2003-09-30,2002-09-30,2001-09-30,2000-09-30,1999-09-30,1998-09-30,1997-09-30,1996-09-30,1995-09-30,1994-09-30,1993-09-30,1992-09-30,1991-09-30,1990-09-30,1989-09-30,1988-09-30
grossProfit,21810000000.00,21051000000.00,20729000000.00,20094000000.00,21587000000.00,17005000000.00,19855000000.00,21297000000.00,20797000000.00,19861000000.00,20889000000.00,19287000000.00,17748000000.00,16771000000.00,16913000000.00,16910000000.00,16802000000.00,10984000000.00,10154000000.00,9104000000.00,8818675200.00,8007987830.00,7330891150.00,7264019760.00,7945242800.00,6253454200.00,5759351636.00,5627835720.00,5087088766.00,4754546440.00,4382703360.00,4306417152.00,4481758512.00,4575125142.00,4547863810.00,5174271734.00,,
incomeBeforeTax,10044000000.00,10107000000.00,10305000000.00,8469000000.00,8501000000.00,4266000000.00,9749000000.00,11731000000.00,11515000000.00,10644000000.00,11416000000.00,10740000000.00,9772000000.00,8814000000.00,8514000000.00,8038000000.00,6096000000.00,5219000000.00,5148000000.00,4547000000.00,4046215680.00,3490696600.00,2911768200.00,2663228340.00,2580124800.00,2543746760.00,2150503308.00,1826493872.00,1782279332.00,1557057026.00,1385209504.00,611805248.00,71716848.00,-1967051088.00,256514048.00,920869617.00,,
incomeTaxExpense,3111000000.00,3117000000.00,3104000000.00,2770000000.00,3038000000.00,1974000000.00,2959000000.00,3632000000.00,3518000000.00,3184000000.00,3348000000.00,3115000000.00,2947000000.00,2812000000.00,1455000000.00,1626000000.00,2579000000.00,1287000000.00,1630000000.00,1422000000.00,1223976960.00,912528560.00,727942050.00,471498240.00,677485600.00,828882000.00,694150772.00,553416504.00,492490052.00,422064048.00,370783056.00,-92824692.00,32358144.00,-411617448.00,-220191258.00,235943301.00,-789579763.00,-725052627.00
interestExpense,35662000000.00,35594000000.00,25435000000.00,6090000000.00,5420000000.00,10351000000.00,16315000000.00,16066000000.00,15716000000.00,16674000000.00,18028000000.00,18706000000.00,20188000000.00,24371000000.00,26102000000.00,22309000000.00,18800000000.00,21859000000.00,15762000000.00,12449000000.00,9882432000.00,8181148370.00,5680889170.00,5074131450.00,6208932400.00,6575797200.00,4857062920.00,5408595696.00,5193055428.00,5279975694.00,4188842840.00,3225354036.00,4240939248.00,5654294496.00,7883297940.00,10026681420.00,0.00,0.00
interestIncome,,54347000000.00,43752000000.00,23251000000.00,22324000000.00,27047000000.00,33222000000.00,32571000000.00,31232000000.00,31822000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minorityInterest,,0.00,-6000000.00,-5000000.00,-5000000.00,51000000.00,53000000.00,52000000.00,54000000.00,61000000.00,817000000.00,64000000.00,74000000.00,66000000.00,68000000.00,66000000.00,71000000.00,73000000.00,67000000.00,54000000.00,110000000.00,40000000.00,8000000.00,5000000.00,5000000.00,3000000.00,,,,,,,,,,,,
netIncome,6910000000.00,6983000000.00,7195000000.00,5694000000.00,5458000000.00,2290000000.00,6778000000.00,8090000000.00,7984000000.00,7440000000.00,8006000000.00,7551000000.00,6739000000.00,5925000000.00,6983000000.00,6340000000.00,3441000000.00,3855000000.00,3450000000.00,3071000000.00,2698000000.00,2538313630.00,2183826150.00,2191730100.00,1902639200.00,1714864760.00,1456046000.00,1272571040.00,1289789280.00,1134992978.00,1014426448.00,647475872.00,39358704.00,-1555433640.00,476705306.00,684926316.00,789579763.00,725052627.00
netIncomeApplicableToCommonShares,6910000000.00,6983000000.00,7190000000.00,5691000000.00,5456000000.00,2288000000.00,6778000000.00,8090000000.00,7984000000.00,7440000000.00,8006000000.00,7551000000.00,6804000000.00,5959000000.00,6983000000.00,6340000000.00,3441000000.00,3855000000.00,3451000000.00,3071000000.00,2681000000.00,2385000000.00,2108000000.00,2144000000.00,1852000000.00,1715000000.00,,,,,,,,,,,,
netIncomeFromContinuingOps,,6990000000.00,7201000000.00,5699000000.00,5463000000.00,2292000000.00,6790000000.00,8099000000.00,7997000000.00,7460000000.00,8068000000.00,7625000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,
netInterestIncome,,18753000000.00,18317000000.00,17161000000.00,16858000000.00,16696000000.00,16907000000.00,16505000000.00,15516000000.00,15148000000.00,14267000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonOperatingIncomeNetOther,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonRecurring,,,,,,,,,669000000.00,860000000.00,529000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
operatingIncome,10044000000.00,10192000000.00,10542000000.00,8588000000.00,9606000000.00,5881000000.00,10709000000.00,12604000000.00,12410000000.00,11523000000.00,12762000000.00,11517000000.00,10427000000.00,7887000000.00,34548000000.00,30281000000.00,6096000000.00,5226789060.00,20843000000.00,16942000000.00,13928647680.00,11671844970.00,2911768200.00,7737359790.00,8789057200.00,9119543960.00,7007566228.00,1830544496.00,6975334760.00,1560093458.00,5574052344.00,3837159284.00,4312656096.00,3687243408.00,8139811988.00,10947551037.00,789579763.00,725052627.00
otherItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherOperatingExpenses,47852000000.00,9460000000.00,9415000000.00,9435000000.00,10521000000.00,12739000000.00,10106000000.00,9566000000.00,9282000000.00,9217000000.00,9473000000.00,8547000000.00,7976000000.00,7957000000.00,17635000000.00,13371000000.00,10706000000.00,5757210940.00,10689000000.00,7838000000.00,5109972480.00,3663857140.00,4419122950.00,473340030.00,843814400.00,2866089760.00,1248214592.00,3797291224.00,1888245994.00,3194452982.00,1191348984.00,469257868.00,169102416.00,887881734.00,3591948178.00,5773279303.00,789579763.00,725052627.00
preferredStockAndOtherAdjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reconciledDepreciation,,1522000000.00,1237000000.00,1581000000.00,3054000000.00,2473000000.00,1079000000.00,1144000000.00,1269000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
researchDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sellingAndMarketingExpenses,,176000000.00,169000000.00,158000000.00,220000000.00,217000000.00,245000000.00,173000000.00,155000000.00,156000000.00,150000000.00,159000000.00,164000000.00,147000000.00,176000000.00,162000000.00,22000000.00,99000000.00,90000000.00,75000000.00,69000000.00,,,,89249600.00,103149760.00,100084004.00,99071512.00,73997526.00,66168914.00,,,,,,18541000.00,,
sellingGeneralAdministrative,6550000000.00,5924000000.00,6018000000.00,5902000000.00,6105000000.00,5069000000.00,5464000000.00,5405000000.00,4626000000.00,4509000000.00,4630000000.00,4510000000.00,4241000000.00,3954000000.00,3765000000.00,3934000000.00,3676000000.00,2654000000.00,2432000000.00,2209000000.00,1579875840.00,1987223340.00,1836766910.00,1828897470.00,1744424000.00,1814330600.00,1830479724.00,1705481480.00,1752377166.00,1785675052.00,1529182368.00,1366968572.00,1511809824.00,1587407994.00,1670096834.00,1643241480.00,,
taxProvision,3111000000.00,3117000000.00,3104000000.00,2770000000.00,3038000000.00,1974000000.00,2959000000.00,3632000000.00,3518000000.00,3184000000.00,3348000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalOperatingExpenses,11766000000.00,10944000000.00,10424000000.00,11625000000.00,13086000000.00,12739000000.00,10106000000.00,9566000000.00,9282000000.00,9217000000.00,9473000000.00,8547000000.00,7976000000.00,7957000000.00,17635000000.00,13371000000.00,-10706000000.00,-5757210940.00,10689000000.00,7838000000.00,5109972480.00,3663857140.00,-4419122950.00,473340030.00,843814400.00,2866089760.00,1248214592.00,-3797291224.00,1888245994.00,-3194452982.00,1191348984.00,-469257868.00,-169102416.00,-887881734.00,3591948178.00,5773279303.00,789579763.00,725052627.00
totalOtherIncomeExpenseNet,-266000000.00,-85000000.00,-237000000.00,-119000000.00,-1105000000.00,14407000000.00,-178000000.00,-111000000.00,-52000000.00,-66000000.00,1075000000.00,36000000.00,39000000.00,-113000000.00,51000000.00,45000000.00,-162000000.00,-7789060.00,-8000000.00,32000000.00,81000000.00,-8181148370.00,,-5074131450.00,-6208932400.00,-6575797200.00,-4857062920.00,-4388176.00,-5193055428.00,-3036432.00,-1806144872.00,-3225354036.00,-4240939248.00,-5654294496.00,-699401584.00,-10026681420.00,,
totalRevenue,55042000000.00,54347000000.00,43752000000.00,19271000000.00,21812000000.00,17005000000.00,19855000000.00,21297000000.00,20797000000.00,19861000000.00,20889000000.00,19287000000.00,17748000000.00,16771000000.00,16913000000.00,16910000000.00,16802000000.00,10984000000.00,10154000000.00,9104000000.00,8818675200.00,8007987830.00,7330891150.00,7264019760.00,7945242800.00,6253454200.00,5759351636.00,5627835720.00,5087088766.00,4754546440.00,4382703360.00,4306417152.00,4481758512.00,4575125142.00,4547863810.00,5174271734.00,,

=== INCOME STATEMENT (quarterly) ===
metric,2026-03-31,2025-09-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-03-31,1990-09-30,1990-03-31,1989-09-30,1989-03-31,1988-09-30,1988-03-31
costOfRevenue,16981000000.00,17103000000.00,,-18531000000.00,,-46092000000.00,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
